"BID" "SSID"
"3998352073_R08C01" "CA0000015265"
"3998346045_R03C02" "CA0000015271"
"3998370159_R05C02" "CA0000015283"
"3998359166_R06C02" "CA0000015286"
"3998352111_R04C02" "CA0000015297"
"3998359111_R10C01" "CA0000015298"
"3998370159_R01C01" "CA0000015300"
"3998359019_R01C01" "CA0000015303"
"3998370052_R06C02" "CA0000015305"
"3998370037_R08C02" "CA0000015331"
"3998352167_R03C01" "CA0000015348"
"3998346003_R04C01" "CA0000015350"
"3998370037_R02C02" "CA0000015351"
"3998352073_R09C02" "CA0000015352"
"3998352073_R09C01" "CA0000015369"
"3998346071_R11C02" "CA0000001537"
"3998352073_R01C02" "CA0000015377"
"3998352073_R12C01" "CA0000015378"
"3998352074_R07C01" "CA0000001538"
"3998352147_R09C01" "CA0000001539"
"3998352073_R10C01" "CA0000015390"
"3998359017_R03C01" "CA0000015394"
"3998352073_R03C02" "CA0000015403"
"3998352073_R05C02" "CA0000015404"
"3998352167_R12C01" "CA0000015414"
"3998352167_R07C02" "CA0000015415"
"3998352111_R01C02" "CA0000015430"
"3998352073_R04C01" "CA0000015431"
"3998352111_R07C02" "CA0000015432"
"3998352111_R05C02" "CA0000015433"
"3998352110_R10C02" "CA0000015448"
"3998346011_R04C02" "CA0000015464"
"3998352110_R01C02" "CA0000015465"
"3998346011_R07C01" "CA0000015470"
"3998370037_R01C02" "CA0000015477"
"3998359019_R07C01" "CA0000015478"
"3998346003_R08C01" "CA0000015479"
"3998346011_R02C02" "CA0000015483"
"3998370159_R03C01" "CA0000015488"
"3998370159_R03C02" "CA0000015498"
"3998352121_R02C02" "CA0000015501"
"3998346011_R06C02" "CA0000015505"
"3998352162_R09C02" "CA0000015507"
"3998352111_R11C02" "CA0000015511"
"3998359118_R11C02" "CA0000015514"
"3998352073_R11C01" "CA0000015515"
"3998346003_R01C02" "CA0000015518"
"3998370043_R07C02" "CA0000015524"
"3998359118_R05C02" "CA0000015536"
"3998346003_R12C01" "CA0000015538"
"3998346003_R11C01" "CA0000015542"
"3998352156_R10C02" "CA0000015551"
"3998359118_R06C02" "CA0000015560"
"3998359118_R07C02" "CA0000015571"
"3998359118_R09C02" "CA0000015583"
"3998370025_R12C01" "CA0000015587"
"3998370159_R04C02" "CA0000015589"
"3998352073_R12C02" "CA0000015591"
"3998346070_R02C01" "CA0000001583"
"3998346070_R01C02" "CA0000001584"
"3998370063_R07C01" "CA0000001588"
"3998352131_R05C02" "CA0000001598"
"3998352071_R05C01" "CA0000001599"
"3998346003_R08C02" "CA0000001600"
"3998346117_R09C01" "CA0000001620"
"3998346075_R04C01" "CA0000001621"
"3998359118_R02C02" "CA0000016447"
"3998370159_R02C02" "CA0000016467"
"3998359118_R04C02" "CA0000016468"
"3998370025_R07C01" "CA0000016482"
"3998370159_R09C02" "CA0000016491"
"3998359118_R09C01" "CA0000016492"
"3998359118_R05C01" "CA0000016493"
"3998370159_R11C01" "CA0000016498"
"3998352121_R01C02" "CA0000016501"
"3998352162_R07C01" "CA0000016504"
"3998352073_R08C02" "CA0000016507"
"3998352073_R10C02" "CA0000016508"
"3998352073_R06C02" "CA0000016521"
"3998370159_R02C01" "CA0000016522"
"3998352164_R06C01" "CA0000016532"
"3998352110_R03C02" "CA0000016538"
"3998352167_R12C02" "CA0000016539"
"3998370025_R09C01" "CA0000016545"
"3998359118_R01C01" "CA0000016546"
"3998359118_R03C01" "CA0000016547"
"3998352164_R11C01" "CA0000016573"
"200180700047_R01C01" "CA0000016576"
"3998352073_R02C02" "CA0000016578"
"3998359118_R07C01" "CA0000016579"
"3998359118_R12C02" "CA0000016587"
"3998359118_R11C01" "CA0000016593"
"3998352073_R05C01" "CA0000016634"
"3998359019_R04C02" "CA0000016642"
"3998352156_R08C01" "CA0000016650"
"3998370159_R05C01" "CA0000016745"
"3998352074_R04C01" "CA0000001676"
"3998370043_R02C02" "CA0000001677"
"3998370062_R06C02" "CA0000016774"
"3998370159_R10C02" "CA0000016808"
"3998370159_R12C02" "CA0000016811"
"3998346072_R08C01" "CA0000001691"
"3998352129_R11C01" "CA0000001692"
"3998370069_R07C01" "CA0000016967"
"3998370159_R08C01" "CA0000017008"
"3998346003_R10C02" "CA0000001708"
"3998352088_R03C01" "CA0000001709"
"3998346071_R04C01" "CA0000001710"
"3998359111_R08C01" "CA0000001738"
"3998359166_R05C02" "CA0000001739"
"3998359166_R08C02" "CA0000001740"
"3998359111_R08C02" "CA0000001760"
"3998352005_R12C01" "CA0000001761"
"3998352110_R12C02" "CA0000001777"
"3998346117_R02C01" "CA0000001778"
"3998352071_R01C01" "CA0000001784"
"3998352088_R07C02" "CA0000001785"
"3998352071_R01C02" "CA0000001786"
"3998370052_R08C02" "CA0000017881"
"3998359118_R08C01" "CA0000017886"
"3998352111_R01C01" "CA0000017887"
"3998352156_R11C02" "CA0000017888"
"3998352167_R04C02" "CA0000017898"
"3998352121_R12C01" "CA0000017907"
"3998352110_R08C02" "CA0000017908"
"3998370037_R11C01" "CA0000017923"
"3998352156_R05C02" "CA0000017924"
"3998352156_R07C02" "CA0000017925"
"3998352156_R03C02" "CA0000017926"
"3998370052_R02C01" "CA0000017928"
"3998352156_R09C02" "CA0000017942"
"3998352162_R06C01" "CA0000017951"
"3998370062_R08C01" "CA0000017959"
"3998352062_R08C01" "CA0000001796"
"3998346003_R12C02" "CA0000001797"
"3998352110_R08C01" "CA0000018008"
"3998346021_R03C01" "CA0000001804"
"3998370054_R09C02" "CA0000018048"
"3998346117_R04C01" "CA0000001805"
"3998346011_R03C02" "CA0000018077"
"3998352121_R09C01" "CA0000018138"
"3998370025_R10C01" "CA0000018158"
"3998370025_R01C02" "CA0000018196"
"3998370062_R06C01" "CA0000018205"
"3998346021_R12C01" "CA0000001822"
"3998352147_R07C01" "CA0000001823"
"3998370069_R10C02" "CA0000018236"
"3998370043_R09C02" "CA0000001824"
"3998370061_R09C01" "CA0000018247"
"3998370069_R09C02" "CA0000018343"
"3998370069_R03C02" "CA0000018364"
"3998370062_R12C02" "CA0000018382"
"3998352167_R07C01" "CA0000000185"
"3998370052_R11C02" "CA0000018509"
"3998370062_R01C02" "CA0000018511"
"3998352156_R09C01" "CA0000018527"
"3998352088_R01C01" "CA0000001854"
"3998352129_R03C01" "CA0000001855"
